id,title,torrent_url
48,"Sensuous Busty Beauties / Sensuous Busty Beauties (Napali Video) [2009, Big Tits, Big Boobs, Solo, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].9272.torrent
49,"Les fruits de la passion (Fruits of Passion) / Passion Fruit (Shûji Terayama, Argos Films, Jinriki Hikoki Sha) [1981, Drama, Erotica, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].9322.torrent
50,"The Indelicate Balance / Indiscreet balance (Joseph W. Sarno, DeLuxe Pictures (I)) [1969, Drama, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].9477.torrent
51,"Tango To Romance / Love in the rhythm of tango (James Avalon, Adam & Eve) [2011, Feature, TVRip] [rus]",https://d.ptorrents.com/bt/[ptorrents.com].9657.torrent
52,"Roxanna / Roxanne (Nick Millard, National Leisure) [1970, Drama, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].9747.torrent
53,"Video Vixens! / Video shrew (Henri Pachard, Fieldston Film Productions) [1975, Comedy, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].9956.torrent
54,"The Daughter of Emanuelle / Emmanuelle daughter (Jean Luret, Films du Berry, Titanus Films) [1975, Drama, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].10054.torrent
55,"Mat to sing suk siA.K.A. Crazy Love / MAD LOVE (Roman Cheung) [1993 g., Erotic, Comedy, SOFTCORE, SEX DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].10089.torrent
56,"Satan's Baby Doll La bimba di Satana / Girl for Satan (Mario Bianchi, Filmarte) [1982, Horror, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].10431.torrent
57,"The All-American GirlA.K.A. Danish Flowers / American TRUE (Mark Haggard, Markland Productions) [1973 g., SOFTCORE, SEX, BD, TEEN, INCEST, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].10588.torrent
58,"The Seduction of Maxine / The Seduction of Maxine (Madison Monroe, SGF Production) [2000, Drama, Thriller, Erotica, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].10639.torrent
59,"Wo lai zi Bei Jing A.K.A The Girls from China / GIRL FROM CHINA (Taylor Wong) [1992, SOFTCORE, EROTICA, RAPE, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].11186.torrent
60,"Lula 3D (2006) Eng / Rus (Redfire Software) [ptcen] [2006, Big tits / Big breasts / Large breasts, Footjob, Oral sex, BDRip] [eng / rus] [720p]",https://d.ptorrents.com/bt/[ptorrents.com].11240.torrent
61,"Dangerous Waters (SquarePeg 3D) [2015, 3DCG, Animation, Futanari, Blowjob, Creampie, Elf, HDRip] [eng]",https://d.ptorrents.com/bt/[ptorrents.com].11267.torrent
62,"Venus. / Venus. (Tor Fruergaard) [2010, AdultShort | Comedy, HDRip] [1080p]",https://d.ptorrents.com/bt/[ptorrents.com].11269.torrent
63,"Rénqî zhî héfú yòuhuò The Temptation of Kimono / Kimono Temptation (Francisco Heitaro, CARESS COMMUNICATIONS) [uncen] [2009, EROTIC, SOFTCORE, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].11298.torrent
64,"M 'agapas? Love Me Not? / I'm in love? (Giorgos Panousopoulos, Greek Film Center, Home Video Hellas (HVH)) [1989, Comedy | Drama | Romance, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].11420.torrent
65,"Oddly Coupled / Strange promptness (Henry Bolder & Karl Rawicz, Centurus Productions Inc) [1970 g., EROTIC, SOFTCORE, VHSRip]",https://d.ptorrents.com/bt/[ptorrents.com].11462.torrent
66,"Hollywood Dreams / Hollywood dreams (Rafe M. Portilo, Hemisphere Entertainment, HollyDream Productions) [1994, Comedy, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].11636.torrent
67,"Yureru densha no naka de: Onna kyôshi no midara na arubaitoA.K.A. Tokyo.Train.Girls.3 The.Sensuous.Nurse / TOKYO TRAIN with girls 3 SENSUAL NURSE (Tadashi Kyouya, CARESS COMMUNICATIONS) [2009 g., EROTIC, SOFTCORE BD RAPE, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].11701.torrent
